Tweet Id,Text,Name,Screen Name,UTC,time,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1531539399132995589,"RT @ziyababa52 : Bilkent cart curt: kampus icinde sadece toplamda 5m^2lik bi alanda sigara icebilirsiniz
İü edebiyat fakültesi: https://t.co/B07TtYx2KI",ilaydeath,ilaydeth,2022-05-31 07:33:42.000 ,Tue May 31 07:33:42 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FUEdhhdXwAEZVcl.jpg,,,
1531537814910910464,"Bilkent cart curt: kampus icinde sadece toplamda 5m^2lik bi alanda sigara icebilirsiniz
İü edebiyat fakültesi: https://t.co/B07TtYx2KI",derttasabitmiyor 330ci fun club,ziyababa52,2022-05-31 07:27:24.000 ,Tue May 31 07:27:24 +0000 2022,2,1,tr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FUEdhhdXwAEZVcl.jpg,,,
1531537180983758849,@uyanhadi_ Dunya da suan 102 olan okul mezunuyum bu 500 muhabbeti eğitimleri çok çok iyi demek degil . Suan ODTÜ Bilkent Boğaziçi İTÜ benim okulumdan daha iyi eğitim veriyor,fake hesap,nevermindnesss,2022-05-31 07:24:53.000 ,Tue May 31 07:24:53 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1531537121378435072,bu sabah bilkent kizilay metrosunda bi vagon boyunca sagda sadece kadinlar solda sadece erkekler oturuyodu bi 5-10 sn seriat mi geldi diye sorguladim,ayça,venomcholia,2022-05-31 07:24:38.000 ,Tue May 31 07:24:38 +0000 2022,1,0,tr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1531524512822571008,"RT @aygunzeki : ""Önceliğimiz Gençlerimiz""

🔹 Bilkent Üniversitesi'nden toplumsal duyarlılık projesi gönüllüsü öğrencilerimizi ilçemizde konuk ederek, gençliğe yönelik projelerimiz üzerine istişarede bulunduk.

📍 Yelken Kafe Toplantı Salonu https://t.co/fWhycK8z5x",Vural Yüce,VuralYce1,2022-05-31 06:34:32.000 ,Tue May 31 06:34:32 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FUBekAHWUAEdEMb.jpg,https://pbs.twimg.com/media/FUBekQRX0AA8enU.jpg,https://pbs.twimg.com/media/FUBekg-WQAklY9K.jpg,https://pbs.twimg.com/media/FUBekwhXoAAgj3G.jpg
1531523501257015297,"RT @aygunzeki : ""Önceliğimiz Gençlerimiz""

🔹 Bilkent Üniversitesi'nden toplumsal duyarlılık projesi gönüllüsü öğrencilerimizi ilçemizde konuk ederek, gençliğe yönelik projelerimiz üzerine istişarede bulunduk.

📍 Yelken Kafe Toplantı Salonu https://t.co/fWhycK8z5x",Gülay Arslan,gulayarssslan,2022-05-31 06:30:31.000 ,Tue May 31 06:30:31 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FUBekAHWUAEdEMb.jpg,https://pbs.twimg.com/media/FUBekQRX0AA8enU.jpg,https://pbs.twimg.com/media/FUBekg-WQAklY9K.jpg,https://pbs.twimg.com/media/FUBekwhXoAAgj3G.jpg
1531517332564197376,"@Ouz18856662 @btwaysegul @571ErdemOzveren 2002 de Ankara'da bilkent üniversite Google yaz bakalım! yoğun güvenlik alanı oluşturulup, sadece devlet büyükleri bakanların katıldığı toplantıda neler koşuldu?
Hani diyorlar tek vatan, tek devlet, tek bayrak ,tek millet,yeni dünya düzeni kuran küresel şeytanların sloganıdır.",𝐀𝐭𝐢𝐥𝐥𝐚 Ö𝐳𝐬𝐞𝐯𝐞𝐫,AtillaOzsever,2022-05-31 06:06:00.000 ,Tue May 31 06:06:00 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,,,
1531517028279910400,"📣Bilkent University Library invites all Bilkent members to an online concert entitled ""Gone, but Not Forgotten"" with retired Bilkenter Erin Maloney on Wednesday, 1 June 2022, at 18.00.
📣The concert will be online via Zoom, and please find the link below:
https://t.co/KShsK1RMnD https://t.co/LjQqZKaJRL",Bilkent University Library,librarybilkent,2022-05-31 06:04:48.000 ,Tue May 31 06:04:48 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://zoom.us/j/5413394200?pwd=Z1dxRjZOamJBODBVQ2E1OFY1SlQ0QT09 ,0,0,video,https://video.twimg.com/ext_tw_video/1531516809299603457/pu/pl/w5IcpLbJWstKNzyt.m3u8?tag=12&container=fmp4,,,
1531507757093879808,RT @tugceygt_ : @DokuzOlmaz @crmbelediyesi @sungurlu_tv @HaytapOfficial @PawGuardsTr @melothepit @kedibettyy @Bilkent_HDK @odtuhaydost,Serap Ulusoy,Srpulsy,2022-05-31 05:27:57.000 ,Tue May 31 05:27:57 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,9,,,,,
1531496017648144384,"RT @ercaeren : Hakan Kara (TCMB (e) Baş Ekonomisti, Bilkent Üniversitesi) ile “Türkiye Para Politikası Tarihi ve TCMB” üzerine canlı YouTube söyleşisi.
3 Haziran, Cuma, Saat 19.00
Abone olmak ve mevcut 82 videoyu izlemek için, 👇
https://t.co/sefCV4vDij
@ali_hakan_kara",limoncello,limoncello09,2022-05-31 04:41:19.000 ,Tue May 31 04:41:19 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.youtube.com/channel/UCMjeF0rOA-EQp_azLSadiEw ,0,1,,,,,
1531493701633056768,"RT @hakhukukhayat : Prof. Dr. Sami SELÇUK
Yargıtay Eski  Başkanı
İ. D. Bilkent Ü. Hukuk Fakültesi öğretim üyesi:

''.... uygulanmayan, yitik hukukun göçüğü.................''

#ŞimdiBirlikZamanı https://t.co/z6bbgHHknk",VİCDANIN SESİ,Dnyal16392885,2022-05-31 04:32:06.000 ,Tue May 31 04:32:06 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FUBrm-8XoAEMzoo.png,,,
1531477434767396864,"RT @DokuzOlmaz : 1-) DİKKAT! Ürkütücü görüntüler yayınlayacağım.

Çorum'un Sungurlu ilçesinin mezbahanesinin etrafında yaşayan çok sayıda uyuz köpeği toplamaya gittik. Vurduğumuz köpekleri yakalamak için arazide ve mezbahanede koşturdukça her yerden ölü köpekler çıktı. https://t.co/CPGWUgrBr3",Bilkent Hayvan Dostları Kulübü,Bilkent_HDK,2022-05-31 03:27:28.000 ,Tue May 31 03:27:28 +0000 2022,0,0,tr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FUCGgkEXEAA6KBR.jpg,,,
